order,name,label,parent,codesystem,code,ontologyTermURI,definition
79,Supplements (F),,Nutrition,,,,Supplements during pregnancy
,Preschool age - Supplements,,Preschool age,,,,
323,School life,,"Preschool, school and work life",,School,,"Information about the school environment (e.g. participation in school activities, favourite subject, performance, number of days missing school, services and support offered by the school). 
Also see Dom. 1 ""Socio-demographic and economic characteristics"", under 'Education' for information about the level of education achieved."
291,Biochemistry,,Laboratory measures,,Biochemistry,,"Information about chemical components (e.g. cholesterol, glucose, lipids, hormones)."
60,Solid food introduction,,"Pregnancy, delivery and birth",,,,Solid food introduction
104,Obstetric Characteristics,,"Pregnancy, delivery and birth",,,,
279,Anthropometry,,Physical measures and assessments,,Anthropo_measures,,"Information about anthropometry (e.g. height, birth weight). It can include measured and self-reported values."
2,Identifiers,,Administrative information,,Identifiers,,"Information about the administrative identification of an individual (e.g. sampling identifier, name of interviewer)."
106,Planned pregnancy,,"Pregnancy, delivery and birth",,,,Planned pregnancy
,Preschool age - Nutrients,,Preschool age,,,,
,Preschool age - Dietary behavior,,Preschool age,,,,
,School age - Method of dietary assessment,,School age,,,,
77,Food groups (F),,Nutrition,,,,"Vegetables without potatoes  during pregnancy,Fruits during pregnancy,Milk and milk products during pregnancy,Fish and fish products during pregnancy,Meat and meat products during pregnancy,Legumes, nuts and their products  during pregnancy,Sugar, sugar products, chocolate products and confectionery  during pregnancy,Egg and egg products  during pregnancy,Grains and grain products  during pregnancy,Low fat dairy during pregnancy,Fatty Fish during pregnancy,Non Fatty Fish during pregnancy,Red meat  during pregnancy,Processed meat during pregnancy,Whole grain cereals during pregnancy,Sugar-sweetened beverages during pregnancy,Potatoes during pregnancy,Savory biscuits and crisps during pregnancy"
,School age - Exact age at dietary assessment,,School age,,,,
,School age - Food groups,,School age,,,,
324,Work life,,"Preschool, school and work life",,Work,,"Information about the job environment (e.g. responsibilities at work, satisfaction with current employment, reasons for reduction in work performance).
Also see Dom. 1 ""Socio-demographic and economic characteristics"", under 'Labour force and retirement' for information about employment status."
58,Nutrition,,Lifestyle and behaviours,,Nutrition,,"Information about the consumption of food (e.g. type, quantity and frequency of food intake) and associated behaviours. 
Also see Dom. 7 ""Medication and supplements"", under 'Medication and supplement intake' for information about the consumption of vitamins and supplements."
,School age - Nutrients,,School age,,,,
,School age - Dietary behavior,,School age,,,,
61,Method of dietary assessment (Preschool),,Preschool age,,,,Method of dietary assessment in preschool age (age 2-4)
,School age - DASH diet index,,School age,,,,
280,Circulation and respiration,,Physical measures and assessments,,Circulation_respiration,,"Information about circulation and respiration (e.g. blood pressure, spirometry)."
281,"Muscles, skeleton and mobility",,Physical measures and assessments,,Muscles_skeleton_mobility,,"Information about muscles, bones, movement and mobility (e.g. hand grip strength, timed 10-meter walk test, osteodensitometry)."
55,Paternal smoking,,Tobacco,,,,"Paternal smoking during pregnancy (cigarettes),Father type, paternal smoking during pregnancy,Paternal smoking during pregnancy (any)"
178,FEV1/FVC,,Spirometry,,,,
78,Nutrients (M),,Nutrition,,,,"Total Daily Kcal intake during pregnancy,Total Fat intake during pregnancy,Percentage of Total Fat intake during pregnancy,Saturated Fats intake during pregnancy,Polyunsaturated fats intake during pregnancy,Trans Fats intake during pregnancy,Total Protein intake during pregnancy,Percentage of Total Protein intake during pregnancy,Total carbohydrate intake during pregnancy,Percentage of Total carbohydrate intake during pregnancy,Sodium intake during pregnancy"
282,Sensory and pain,,Physical measures and assessments,,Sensory_pain,,"Information about sensory functions (e.g. eye exam, Snellen eye chart, hearing test) and pain (e.g. dolorimetry)."
283,Brain and nerves,,Physical measures and assessments,,Brain_nerves,,"Information about the central (brain and spinal cord) and peripheral (nerves) nervous system (e.g. electrical impulse detection (EEG, EMG))."
68,Method of dietary assessment (School),,School age,,,,Method of dietary assessment in school-age children (5-8 years)
45,Maternal occupational code,,Labour force and retirement,,,,"Maternal occupational code (>-1 year and <1 year),Maternal occupational code (>1 year and <2 years),Maternal occupational code (>10 and <11 years),Maternal occupational code (>11 and <12 years),Maternal occupational code (>6 and <7 years),Maternal occupational code (>5 and <6 years),Maternal occupational code (>4 and <5 years),Maternal occupational code (>3 and <4 years),Maternal occupational code (>2 and <3 years),Maternal occupational code (>17 and <18 years),Maternal occupational code (>16 and <17 years),Maternal occupational code (>15 and <16 years),Maternal occupational code (>14 and <15 years),Maternal occupational code (>13 and <14 years),Maternal occupational code (>12 and <13 years),Maternal occupational code (>7 and <8 years),Maternal occupational code (>8 and <9 years),Maternal occupational code (>9 and <10 years)"
