resource,dataset,name,label,collection event.resource,collection event.name,since version,until version,format,unit,references.dataset,references.name,mandatory,description,order,example values,keywords,vocabularies,notes
ATHLETE_CDM,outcome_ath,bnR_10,,,,,,binary,,,,,"Repeated measures of offspring bulimia nervosa diagnosis:
bnR_10: assessed between ≥ 10 years and < 11 years
….
bnR_19: assessed between ≥ 19 years and < 20 years",,,Behavioral problem domains,,
ATHLETE_CDM,urban_ath,ath_no2_1,no2 average value (extrapolated back in time using ratio method) during first year (>0 year and <=1 year),,,1.0.0,,continuous,micrograms_per_cubic_meter,,,,no2 average value (extrapolated back in time using ratio method) during first year (>0 year and <=1 year),,,no2,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_no2elp_preg,no2 elapse average value (extrapolated back in time using ratio method) during pregnancy,,,1.0.0,,continuous,micrograms_per_cubic_meter,,,,no2 elapse average value (extrapolated back in time using ratio method) during pregnancy,,,,,using ELAPSE MODELS
ATHLETE_CDM,urban_ath,ath_no2elp_t1,no2 elapse average value (extrapolated back in time using ratio method) during first trimester,,,1.0.0,,continuous,micrograms_per_cubic_meter,,,,no2 elapse average value (extrapolated back in time using ratio method) during first trimester,,,,,using ELAPSE MODELS
ATHLETE_CDM,urban_ath,ath_pm10k_t1,pm10k value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10k value at second trimester,,,pm10k,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10ni_preg,pm10ni value at pregnancy,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10ni value at pregnancy,,,pm10ni,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10ni_0,pm10ni value at birth,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10ni value at birth,,,pm10ni,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10ni_t1,pm10ni value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10ni value at second trimester,,,pm10ni,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10s_preg,pm10s value at pregnancy,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10s value at pregnancy,,,pm10s,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10s_0,pm10s value at birth,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10s value at birth,,,pm10s,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10s_t1,pm10s value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10s value at second trimester,,,pm10s,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10si_preg,pm10si value at pregnancy,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10si value at pregnancy,,,pm10si,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10si_0,pm10si value at birth,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10si value at birth,,,pm10si,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10si_t1,pm10si value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10si value at second trimester,,,pm10si,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10v_preg,pm10v value at pregnancy,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10v value at pregnancy,,,pm10v,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10v_0,pm10v value at birth,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10v value at birth,,,pm10v,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10v_t1,pm10v value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10v value at second trimester,,,pm10v,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10zn_preg,pm10zn value at pregnancy,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10zn value at pregnancy,,,pm10zn,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10zn_0,pm10zn value at birth,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10zn value at birth,,,pm10zn,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_pm10zn_t1,pm10zn value at second trimester,,,1.0.0,,continuous,nanograms_per_cubic_meter,,,,pm10zn value at second trimester,,,pm10zn,,using ESCAPE LUR MODELS
ATHLETE_CDM,urban_ath,ath_blue_dist_preg,"straight line distance to nearest blue space > 5,000 m2 at  pregnancy",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest blue space > 5,000 m2 at  pregnancy",,,blue_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blue_dist_0,"straight line distance to nearest blue space > 5,000 m2 at  birth",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest blue space > 5,000 m2 at  birth",,,blue_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blue_dist_t1,"straight line distance to nearest blue space > 5,000 m2 at  first trimester",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest blue space > 5,000 m2 at  first trimester",,,blue_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_popdens_0,population density at birth,,,1.0.0,,continuous,people_per_square_kilometer,,,,population density at birth,,,population_density,,using Global Human Settlement Layer (GHSL)
ATHLETE_CDM,urban_ath,ath_green_dist_preg,"straight line distance to nearest green space > 5,000 m2 at  pregnancy",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest green space > 5,000 m2 at  pregnancy",,,green_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_green_dist_0,"straight line distance to nearest green space > 5,000 m2 at  birth",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest green space > 5,000 m2 at  birth",,,green_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_green_dist_t1,"straight line distance to nearest green space > 5,000 m2 at  first trimester",,,1.0.0,,continuous,meter,,,,"straight line distance to nearest green space > 5,000 m2 at  first trimester",,,green_distance,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blue_size_preg,"area of closest blue space > 5,000m2 at pregnancy",,,1.0.0,,continuous,square_meter,,,,"area of closest blue space > 5,000m2 at pregnancy",,,blue_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blue_size_0,"area of closest blue space > 5,000m2 at birth",,,1.0.0,,continuous,square_meter,,,,"area of closest blue space > 5,000m2 at birth",,,blue_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_blue_size_t1,"area of closest blue space > 5,000m2 at first trimester",,,1.0.0,,continuous,square_meter,,,,"area of closest blue space > 5,000m2 at first trimester",,,blue_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_green_size_preg,"area of closest green space > 5,000m2 at pregnancy",,,1.0.0,,continuous,square_meter,,,,"area of closest green space > 5,000m2 at pregnancy",,,green_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
ATHLETE_CDM,urban_ath,ath_green_size_0,"area of closest green space > 5,000m2 at birth",,,1.0.0,,continuous,square_meter,,,,"area of closest green space > 5,000m2 at birth",,,green_size,,using URBANATLAS except for INMA GUIPUZCOA (EUNIS) and MOBA (local layer)
